Approximate Lat,Approximate Lon,City Name,Country Code,Exact Coordinates,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Max Temp
-68.26,163.04,bluff,nz,"(-46.6, 168.333333)",-46.6,168.333333,48,80,100,8.01,48
-48.48,-120.05,rikitea,pf,"(-23.1202778, -134.9691667)",-23.1202778,-134.9691667,79.93,69,93,8.5,79.93
41.17,50.96,artyom,az,"(40.472255, 50.333041)",40.472255,50.333041,42.8,93,75,11.5,42.8
59.48,65.43,lugovoy,ru,"(59.733333, 65.833333)",59.733333,65.833333,17.58,97,80,5.68,17.58
-39.1,67.59,souillac,mu,"(-20.5166667, 57.5166667)",-20.5166667,57.5166667,77,88,75,5.75,77
68.36,-145.99,fairbanks,us,"(64.8377778, -147.7163889)",64.8377778,-147.7163889,-5.22,76,20,1.81,1
-42.7,3.21,cape town,za,"(-33.925839, 18.423218)",-33.925839,18.423218,62.01,77,0,4.61,66
78.76,-108.74,yellowknife,ca,"(62.45, -114.35)",62.45,-114.35,-20.18,69,40,4.61,-18
-1.94,-99.85,puerto ayora,ec,"(-0.75, -90.3166667)",-0.75,-90.3166667,82.09,70,20,14.97,84.2
21.86,-135.37,lompoc,us,"(34.6391667, -120.4569444)",34.6391667,-120.4569444,48.33,87,90,6.91,51.8
43.84,164.99,petropavlovsk-kamchatskiy,ru,"(53.0452, 158.6483)",53.0452,158.6483,14,85,6,6.71,14
9.38,-42.94,cayenne,gf,"(4.9333333, -52.3333333)",4.9333333,-52.3333333,80.6,78,90,5.75,80.6
-21.78,-25.2,caravelas,br,"(-17.75, -39.25)",-17.75,-39.25,76.86,82,0,6.2,76.86
-10.14,83.75,hithadhoo,mv,"(-0.6, 73.0833333)",-0.6,73.0833333,81.79,71,83,10.22,81.79
-89.22,-54.46,ushuaia,ar,"(-54.8, -68.3)",-54.8,-68.3,44.6,70,75,26.46,44.6
-50.18,121.35,albany,au,"(-35.003101, 117.865952)",-35.003101,117.865952,62.6,94,90,7.67,62.6
81.71,167.86,pevek,ru,"(69.700833, 170.313333)",69.700833,170.313333,-21.37,87,38,2.53,-21.37
-63.89,15.89,bredasdorp,za,"(-34.532154, 20.040308)",-34.532154,20.040308,57.2,77,2,3.44,57.2
-31.64,119.72,northam,au,"(-31.649321, 116.674232)",-31.649321,116.674232,65.88,59,0,18.41,66.2
-88.33,52.42,port alfred,za,"(-33.590572, 26.891037)",-33.590572,26.891037,66.99,76,2,5.01,66.99
-22.73,-87.23,pisco,pe,"(-13.7, -76.2166667)",-13.7,-76.2166667,78.15,54,0,13.8,80.6
3.68,161.78,butaritari,ki,"(3.0833333, 172.8166667)",3.0833333,172.8166667,80.73,79,89,16.71,80.73
-61.08,142.81,hobart,au,"(-42.883209, 147.331665)",-42.883209,147.331665,59.5,55,90,10.36,61
84.03,62.3,amderma,ru,"(69.7576, 61.6655)",69.7576,61.6655,-26.36,84,57,12.06,-26.36
